NOTE  |Author: Prabesh 杰诗 - ver. 1.9 - 2018-01-24
NOTE  |Troops and spell what i made and tested
NOTE  |I am maing a csv that will have all the ground troops 
NOTE  |Still i will be focusing on the GiBarch mainly 

      |---------------------------------------- PrabeshRajJk script start -----------------------------|
  
   
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|                   
DROP  |B-C-H-I    |6          |10         |valk       |30-50      |40-70      |100-300    |           | Dropping valk using all 4 vectors concurrently...   4 valk
DROP  |B-C-H-I    |6          |10         |wiza       |30-50      |40-70      |100-300    |           | Dropping wizards using all 4 vectors concurrently...4 wiza
DROP  |B-C-H-I    |6          |2          |wall       |30-50      |0          |100-300    |           | Dropping wall using all 4 vectors concurrently...   8 wall
DROP  |W          |4          |2          |Haspell    |100-500    |0          |2000-3000  |           | Dropping 3rd Haste Spell
DROP  |Y-Z        |2-3        |3          |HSpell     |1          |0          |10-150     |           | Dropping 2nd &3rd Heal Spell

      


      |--------------------- Extra troops (In case u prepare extra air troops ) ---------------------------|
DROP  |B-C-C-B    |1-10       |100%        |Drag       |30-50      |40-70      |100-300    |           |Dropping Dragon using all 4 vectors concurrently...    
DROP  |B-C-C-B    |1-10       |100%        |Ball       |30-50      |40-70      |100-300    |           |Dropping balloons using all 4 vectors concurrently...  
DROP  |B-C-C-B    |1-10       |100%        |Lava       |30-50      |40-70      |100-300    |           |Dropping LAva using all 4 vectors concurrently...      
DROP  |B-C-C-B    |1-10       |100%        |Mini       |30-50      |40-70      |100-300    |           |Dropping Minion using all 4 vectors concurrently...    
DROP  |B-C-C-B    |1-10       |100%        |BabyD      |30-50      |40-70      |100-300    |           |Dropping BabyDragon using all 4 vectors concurrently...
DROP  |B-C-C-B    |1-10       |100%        |Gobl       |30-50      |40-70      |100-300    |           |Dropping Goblin using all 4 vectors concurrently...    

      |---------------------------------- PrabeshRajJk script ends ------------------------------------|
